From_node	To_node	X	Pmax
D-82	D-113	0.01507	2400.0
D-206	D-209	0.005	1200.0
D-214	D_oberbr	0.03698	1200.0
D-193	D-231	0.04776	800.0
D-86	D-88	0.01787	1600.0
D-23	D-17	0.00747	2000.0
D-35	D-41	0.00609	2800.0
D-47	D-41	0.02821	1200.0
D-41	D-13	0.0658	800.0
D-52	D-38	0.02508	1200.0
D-197	D-206	0.00558	4000.0
D-74	D-60	0.01802	800.0
D-148	D-153	0.00531	800.0
D-177	D-192	0.04185	4000.0
DK-8	D-1	0.04386	1600.0
D-90	D-74	0.00993	2000.0
D-130	D-138	0.00546	800.0
D-65	D-73	0.02133	1600.0
D-219	D-224	0.04047	1200.0
D-154	D-151	0.01257	800.0
D_Rommer	D-137	0.0203	1600.0
D-152	D-159	0.0475	800.0
D-158	D-159	0.02192	800.0
D-192	D-200	0.0172	2000.0
D-129	D-113	0.02262	800.0
D-70	D-85	0.01112	800.0
D-63	D-61	0.03235	800.0
D-33	D-43	0.01924	2800.0
D-14	D-11	0.02963	1600.0
D-88	D-76	0.03684	800.0
D-78	D-73	0.01766	800.0
A_st.Pet	D-231	0.0203	800.0
D-77	D-82	0.021	800.0
D-192	D-199	0.01999	800.0
D-174	D-154	0.01699	1200.0
D-48	D-65	0.01758	1200.0
D-81	D-107	0.00965	800.0
D-47	D-57	0.01515	800.0
D-202	D-198	0.00947	800.0
D-78	D-84	0.028	1600.0
D-104	D-108	0.01377	1200.0
D-83	D-98	0.00912	1200.0
D-123	D-127	0.01103	4000.0
DK-8	D-6	0.02023	800.0
D-203	D-201	0.00473	800.0
D-219	D_leupol	0.05398	2000.0
D-137	D-131	0.07252	2400.0
D-62	D-46	0.01048	2000.0
D-3	D-8	0.02512	800.0
D-56	D-48	0.01164	1600.0
D-68	D-62	0.00857	1600.0
D-98	D-113	0.01954	800.0
D_Connef	D-32	0.0186	800.0
D-158	D-175	0.05944	1200.0
D-99	D-85	0.02899	1600.0
D-114	D-87	0.06515	800.0
D-115	D-125	0.02222	800.0
D-108	D-123	0.06543	800.0
D-91	D-97	0.03216	1600.0
D-36	D-33	0.02412	2400.0
D-44	D-48	0.00507	1200.0
D-136	D-137	0.00844	2000.0
D-112	D-119	0.00573	1600.0
D-123	D-111	0.04114	1200.0
D-164	D-165/16	0.11579	800.0
D-165/16	D-180	0.02515	3200.0
D-55	D-30	0.01776	2000.0
D-212	D_Eichst	0.0257	800.0
D-82	D-94	0.01715	800.0
D-89	D-103	0.01592	800.0
D-118	D-124	0.01437	1200.0
D-59	D-66	0.01492	1200.0
E-204	D-213	0.00804	1200.0
D-174	D-190	0.01197	1600.0
D_Connef	D-22	0.02024	4000.0
D-12	D-10	0.01449	1600.0
E-211	D-196	0.01569	4000.0
D-85	D-79	0.00935	800.0
PL-68	D-80	0.006	800.0
D-142	D-140	0.01069	800.0
D-9	D-52	0.10217	800.0
D-124	D-139	0.007	1200.0
D-164	D-178	0.05981	800.0
D-150	D-170	0.0446	800.0
D-144	D-137	0.03882	1200.0
D-172	D-188	0.02484	800.0
D-100	D-93	0.01983	1600.0
D_Diele	D-44	0.0045	800.0
D-165/16	D-144	0.02702	1600.0
D-174	D-170	0.03066	800.0
D-149	D-154	0.02415	1200.0
D-100	D-126	0.01247	1200.0
D-229	D-160	0.01111	1200.0
D-88	D-78	0.03447	800.0
D-9	D-7	0.02661	800.0
D-2	D-7	0.04206	800.0
D-71	D-66	0.01998	1200.0
D-3	D-2	0.02269	800.0
D-203	D-195	0.00588	800.0
D-103	D-99	0.02274	800.0
D-113	CZ-15	0.01672	1200.0
D_Gronau	D-95	0.00759	1200.0
D-19	PL-28	0.01447	2800.0
D-150	D-151	0.00437	800.0
D-108	D-101	0.00611	2400.0
D-163	D-174	0.08197	800.0
D-157	D-158	0.03324	800.0
D-102	D-110	0.00315	3600.0
D-38	D-41	0.01162	2000.0
D-116	D-91	0.01297	2000.0
D-198	D-210	0.00684	1200.0
D-62	D-82	0.02553	1600.0
D_Rommer	D-123	0.01068	3200.0
D-85	D-87	0.04422	800.0
D-79	D-52	0.02078	1600.0
D-55	D-53	0.01649	800.0
D-207	D-214	0.00599	2000.0
D_Rommer	D-136	0.00614	3200.0
D-10	D-14	0.02484	800.0
D-4	D-6	0.02119	800.0
D-129	D-134	0.0419	800.0
D-116	D-107	0.01084	800.0
D-57	D-52	0.04182	1200.0
D-9	D-15	0.01264	800.0
D-119	D-124	0.00782	3200.0
D-77	D-83	0.00745	4000.0
D-213	D_leupol	0.00897	2400.0
D-114	D-129	0.00734	1600.0
D-113	D-117	0.0148	800.0
D-39	D-45	0.03612	800.0
D-171	D-154	0.01691	800.0
D_Gronau	D-56	0.00523	800.0
D-129	D-142	0.01223	800.0
D-5	D-9	0.00858	2400.0
D-189	D-186	0.0041	4000.0
D-100	D-110	0.06327	800.0
D-110	D-123	0.00893	3200.0
D-154	D-179	0.01917	2800.0
D-182	D-192	0.00817	800.0
D-9	D-8	0.04686	800.0
D-138	D-131	0.0155	1600.0
D-14	D-16	0.01884	2400.0
D-65	D-63	0.00958	1200.0
D-12	D-14	0.01219	2800.0
D-41	D-34	0.03049	1200.0
D-148	D-152	0.0075	1200.0
D-82	D-57	0.01853	1200.0
D-107	D-119	0.00964	800.0
D-135	D-129	0.01091	800.0
D-3	D-13	0.0606	800.0
D-31	D-36	0.02897	2000.0
D-59	D-61	0.03069	800.0
D-188	D-191	0.01412	1200.0
D-21	D-30	0.00896	2800.0
D-68	D-77	0.00463	3200.0
D-9	D-3	0.0241	800.0
D-187	D-190	0.02626	1200.0
D-76	D-91	0.0069	800.0
D-182	D-196	0.03248	4000.0
D-63	D-50	0.00514	800.0
D-144	D-145	0.02623	800.0
D-100	D-109	0.01772	1600.0
D-41	D-46	0.01941	1200.0
D-186	D-181	0.01022	2400.0
D-165/16	D-177	0.04563	2000.0
D-120	D-131	0.01866	800.0
D-160	D_185	0.01103	2000.0
D-54	D-71	0.01987	2800.0
D-213	E_obermo	0.01547	1600.0
D-176	D-186	0.02155	4000.0
A_st.Pet	D-188	0.03237	2000.0
D-213	D-210	0.07995	800.0
D-13	D-19	0.03211	1600.0
D-66	D-72	0.01836	1600.0
D-31	D-24	0.05279	1200.0
D-127	D-131	0.00695	3600.0
D-194	E-204	0.00635	800.0
D-71	D-78	0.00409	1200.0
D-137	D_Rommer	0.00401	4000.0
D_185	D-180	0.00586	2000.0
D-208	E-215	0.01279	800.0
D-123	D-137	0.02421	1600.0
D-53	D-69	0.0325	2000.0
D-25	D-52	0.02331	800.0
D-157	D-143	0.03585	800.0
D-75	D-96	0.02604	1600.0
D-182	D-171	0.03705	800.0
D-32	D-31	0.01347	2400.0
D-33	D-18	0.03387	800.0
D-152	D-158	0.00442	1200.0
D-49	D-60	0.03208	1600.0
D-194	D-179	0.08153	4000.0
D-189	D-203	0.0247	4000.0
D-113	D-122	0.00679	800.0
D-160	D-162	0.03824	2000.0
D-157	D-165/16	0.01849	800.0
D-207	D-198	0.01071	3200.0
D-155	D-165/16	0.00803	1200.0
D-139	D-149	0.01509	800.0
D-126	D-123	0.00661	4800.0
D-231	D_233	0.02237	1200.0
D-191	D-206	0.01146	3600.0
E-218	D-196	0.02424	2400.0
D_Siersd	D-136	0.00698	800.0
D-58	D-51	0.00608	2800.0
D-192	D_Eichst	0.02273	3200.0
D-210	D_leupol	0.0166	800.0
D-95	D-104	0.00332	1200.0
D-6	D-12	0.01225	2000.0
D-49	D-43	0.02803	2000.0
D-49	D-63	0.0389	1200.0
D-186	D-196	0.00742	4000.0
D-156	D-172	0.00743	800.0
D-92	D-82	0.02018	800.0
D-24	D-18	0.08865	800.0
D-34	D-39	0.01516	2000.0
D-174	D-161	0.00744	1200.0
D-69	D-75	0.01552	1200.0
E-217	D-203	0.05171	2400.0
CZ-15	D-156	0.05651	800.0
D-26	D-20	0.02608	3200.0
D-175	D-186	0.02608	800.0
D-170	D-187	0.05028	1200.0
D-3	D-35	0.03567	1200.0
D-49	D-53	0.10009	800.0
D-187	D-193	0.02456	1200.0
D-186	D-177	0.03433	3200.0
D-114	D-85	0.03238	800.0
D-104	D-88	0.0118	1600.0
E-211	D-213	0.00994	3600.0
D_Connef	D-26	0.00459	4000.0
D-108	D-111	0.01719	800.0
D-100	D-102	0.0049	2000.0
D-96	D-106	0.01724	800.0
D-29	D-27	0.01517	1200.0
D_Connef	D-42	0.02902	800.0
D-196	D-186	0.04978	800.0
D-49	D-59	0.0233	2000.0
D-170	D-172	0.04117	800.0
D-100	D-65	0.08045	1200.0
D-137	D-141	0.00438	4000.0
D-49	D-54	0.01225	2000.0
D-47	D-39	0.0153	3200.0
D-186	D-179	0.00976	2000.0
D-206	D-216	0.01142	1200.0
D-200	D-212	0.023	1200.0
D-205	D-210	0.00496	800.0
D-78	D-66	0.0428	800.0
Lx-2	D-173	0.02984	800.0
D-88	D-91	0.00935	800.0
D-131	D-143	0.03292	800.0
D-16	D-18	0.02043	800.0
D-17	D-21	0.0047	2400.0
D-190	D-197	0.01042	2400.0
D-155	D-158	0.01026	2400.0
D-9	D-25	0.02589	800.0
D-113	D-103	0.01818	2400.0
D-180	D-178	0.02416	800.0
D-155	D-144	0.0216	1600.0
D-165/16	D-182	0.00888	4000.0
D-189	D-196	0.01706	800.0
D-146	D-160	0.05996	800.0
D-113	D-121	0.01898	800.0
D-115	D-103	0.03555	1600.0
D-26	D-37	0.00815	1200.0
D-81	D-71	0.01745	1200.0
D-114	D-118	0.02777	800.0
D-80	D-83	0.01361	2000.0
D-52	D-58	0.01156	4000.0
D-6	D-1	0.03986	2000.0
D-114	D-92	0.01501	1600.0
D-20	D-49	0.02829	3200.0
D-74	D-64	0.01087	2000.0
D-172	D-183	0.00758	1200.0
D-136	D-147	0.01032	4000.0
D-62	D-57	0.01097	2000.0
D-213	D-202	0.01139	800.0
D-64	D-55	0.0095	2800.0
D-198	D-205	0.00484	1600.0
D-173	D-185	0.05271	2400.0
D-90	D-112	0.00706	1600.0
D-14	D-17	0.00837	1600.0
D-111	D-120	0.02603	1200.0
D-141	D-144	0.00757	3600.0
D-51	D-55	0.00808	2400.0
D-57	D-70	0.03457	1200.0
D-185	F-41	0.04365	800.0
D-140	D-156	0.01575	800.0
D-142	D-150	0.00524	800.0
D-147	D-160	0.01147	4000.0
D-119	D-138	0.00852	1200.0
D-148	D-138	0.00955	800.0
D-131	D-133	0.02045	800.0
D-196	D-208	0.01091	1600.0
D-101	D-91	0.00325	1200.0
D-20	D-23	0.00528	1600.0
D-159	D-163	0.02296	1200.0
D-162	D-173	0.01425	3200.0
D-95	D-105	0.00334	1600.0
D-207	D-206	0.01122	4000.0
D-56	D-76	0.00867	1600.0
D-229	Lx-1	0.01041	800.0
D_Connef	D-29	0.03467	800.0
D-150	D-161	0.00944	1600.0
